"Country","FUEL","FUELTYPE","MW","STATUS","STYPE","Year","RETIRE"
"BB","COAL","LIG",20,"OPR","SUBCR",1964,
"BB","COAL","LIG",6,"OPR","SUBCR",1966,
"AA","COAL","LIG",300,"OPR","SUBCR",1984,
"AA","COAL","LIG",300,"OPR","SUBCR",1984,
"AA","COAL","LIG",310,"OPR","SUBCR",1985,
"AA","COAL","LIG",310,"OPR","SUBCR",1986,
"AA","COAL","LIG",366.5,"OPR","SUPERC",1997,
"AA","COAL","",15,"RET","SUBCR",,
"AA","COAL","",15,"RET","SUBCR",,
"AA","COAL","",15,"RET","SUBCR",,
"AA","COAL","",15,"RET","SUBCR",,
"AA","COAL","",15,"RET","SUBCR",,
"AA","COAL","LIG",300,"RET","SUBCR",1987,2020
"AA","COAL","LIG",300,"RET","SUBCR",1988,2020
"BB","COAL","",12,"RET","SUBCR",1948,
"BB","COAL","",0.66,"OPR","SUBCR",1999,
"BB","COAL","",5,"OPR","SUBCR",1999,
"BB","COAL","",9,"OPR","SUBCR",1966,
"BB","COAL","",30,"OPR","SUBCR",1984,
"BB","COAL","",30,"OPR","SUBCR",1984,
"BB","COAL","LIG",12,"RET","SUBCR",1973,
"BB","COAL","LIG",12,"OPR","SUBCR",1973,
"BB","COAL","LIG",25,"OPR","SUBCR",1980,
"BB","COAL","LIG",29.2,"OPR","SUBCR",1997,
"BB","COAL","LIG",12,"OPR","SUBCR",2011,
"BB","COAL","LIG",4.4,"OPR","SUBCR",,
"BB","COAL","BIT",12,"RET","SUBCR",1953,
"BB","COAL","BIT",12,"RET","SUBCR",1954,
"BB","COAL","BIT",12,"OPR","SUBCR",1966,
"BB","COAL","BIT",12,"OPR","SUBCR",1968,
"BB","COAL","LIG",205,"OPR","SUBCR",1977,
"BB","COAL","LIG",205,"OPR","SUBCR",1978,
"BB","COAL","LIG",205,"OPR","SUBCR",1978,
"BB","COAL","LIG",205,"OPR","SUBCR",1978,
"BB","COAL","BIT",200,"OPR","SUBCR",1975,
"BB","COAL","BIT",200,"OPR","SUBCR",1975,
"BB","COAL","BIT",200,"OPR","SUBCR",1976,
"BB","COAL","BIT",200,"OPR","SUBCR",1976,
"BB","COAL","LIG",6.3,"OPR","SUBCR",1955,
"BB","COAL","LIG",12,"OPR","SUBCR",1963,
"BB","COAL","LIG",3.7,"OPR","SUBCR",2011,
"CC","COAL","LIG",2.5,"RET","SUBCR",,
"CC","COAL","LIG",4.9,"RET","SUBCR",,
"BB","COAL","",15,"RET","SUBCR",1947,
"BB","COAL","",15,"RET","SUBCR",1947,
"BB","COAL","",15,"RET","SUBCR",1948,
"BB","COAL","",25,"RET","SUBCR",1959,
"AA","COAL","LIG",330,"OPR","SUPERC",2003,
"BB","COAL","LIG",50,"RET","SUBCR",1954,
"BB","COAL","LIG",50,"RET","SUBCR",1954,
"BB","COAL","LIG",55,"RET","SUBCR",1955,
"BB","COAL","LIG",40,"OPR","SUBCR",1997,
"BB","COAL","LIG",55,"RET","SUBCR",1958,
"BB","COAL","LIG",60,"OPR","SUBCR",1996,
"CC","COAL","",18,"RET","SUBCR",1973,
"CC","COAL","LIG",11.62,"RET","SUBCR",1954,1971
"BB","COAL","LIG",4,"OPR","SUBCR",1967,
"BB","COAL","LIG",2.5,"OPR","SUBCR",1955,
"AA","COAL","",300,"RET","SUBCR",1975,2019
"AA","COAL","",300,"RET","SUBCR",1975,2019
"AA","COAL","",300,"RET","SUBCR",1980,2021
"AA","COAL","",300,"RET","SUBCR",1981,2021
"BB","COAL","BIT",28,"RET","SUBCR",1976,2013
"BB","COAL","BIT",6.9,"OPR","SUBCR",1999,
"BB","COAL","",135.5,"OPR","SUBCR",1999,
"BB","COAL","",135.5,"OPR","SUBCR",1999,
"BB","COAL","LIG",135,"OPR","SUBCR",2014,
"BB","COAL","LIG",5,"OPR","SUBCR",1968,
"BB","COAL","LIG",12,"OPR","SUBCR",1999,
"BB","COAL","LIG",6.5,"OPR","SUBCR",2013,
"BB","COAL","LIG",32,"OPR","SUBCR",1959,
"BB","COAL","LIG",32,"OPR","SUBCR",1958,
"BB","COAL","LIG",32,"OPR","SUBCR",1958,
"BB","COAL","LIG",20,"OPR","SUBCR",1959,
"BB","COAL","LIG",32,"OPR","SUBCR",1978,
"BB","COAL","LIG",35,"OPR","SUBCR",2006,
"BB","COAL","LIG",22,"OPR","SUBCR",1995,
"BB","COAL","LIG",34,"OPR","SUBCR",1997,
"BB","COAL","LIG",200,"RET","SUBCR",1967,1998
"BB","COAL","LIG",110,"RET","SUBCR",1966,
"BB","COAL","LIG",110,"RET","SUBCR",1966,2013
"BB","COAL","LIG",110,"RET","SUBCR",1968,
"BB","COAL","LIG",110,"OPR","SUBCR",1998,
"BB","COAL","LIG",110,"RET","SUBCR",1969,1994
"BB","COAL","LIG",660,"OPR","ULTRSC",2020,
"AA","COAL","LIG",10,"RET","SUBCR",1959,
"AA","COAL","LIG",33,"RET","SUBCR",1965,
"BB","COAL","LIG",4,"OPR","SUBCR",1996,
"BB","COAL","LIG",12,"OPR","SUBCR",1989,
"BB","COAL","LIG",6,"OPR","SUBCR",,
"BB","COAL","LIG",25,"OPR","SUBCR",2015,
"BB","COAL","LIG",6,"RET","SUBCR",1963,
"BB","COAL","LIG",6,"RET","SUBCR",1963,
"BB","COAL","LIG",55,"OPR","SUBCR",1971,
"BB","COAL","LIG",55,"OPR","SUBCR",1971,
"AA","COAL","",125,"OPR","SUBCR",1970,
"AA","COAL","",125,"OPR","SUBCR",1970,
"AA","COAL","",300,"OPR","SUBCR",1975,
"AA","COAL","",310,"OPR","SUBCR",1991,
"BB","COAL","LIG",60,"OPR","SUBCR",1960,
"BB","COAL","LIG",60,"OPR","SUBCR",1960,
"BB","COAL","LIG",56,"OPR","SUBCR",1960,
"BB","COAL","LIG",56,"OPR","SUBCR",1960,
"BB","COAL","LIG",60,"OPR","SUBCR",1961,
"BB","COAL","LIG",60,"OPR","SUBCR",1961,
"BB","COAL","LIG",110,"RET","SUBCR",1970,1999
"BB","COAL","LIG",110,"RET","SUBCR",1970,1999
